,word,origin_type,source_language,original_word
666,tailor,immediate,French,tailleur
667,tablet,immediate,French (Anglo-Norman),tablete
668,surrender,immediate,French,surrendre
669,surprised,immediate,French,surpris
670,sure,immediate,French (Anglo-Norman),sur
671,supper,immediate,Old French,super
672,sugar cane,immediate,French (Anglo-Norman),cane
673,sugar,immediate,Old French,zuchre
674,study,immediate,French (Anglo-Norman),estudier
675,stranger,immediate,Old French,estrangier
676,strain,immediate,French (Anglo-Norman),estreindre
677,store,immediate,French (Anglo-Norman),estorer
678,stomach,immediate,French,estomac
679,stay,immediate,French (Anglo-Norman),estaier
680,stallion,immediate,Old French,estalon
681,stable,immediate,French (Anglo-Norman),estable
682,squirrel,immediate,Old French,esquirel
683,square,immediate,French (Anglo-Norman),esquire
684,spleen,immediate,Middle French,esplen
685,spirit,immediate,French (Anglo-Norman),spirit
686,spine,immediate,Middle French,espine
687,soup,immediate,French,soupe
688,sound,immediate,French,son
689,sorcerer,immediate,Middle French,sorcier
690,soldier,immediate,Old French,soldier
691,soil,immediate,French,seuil
692,slave,immediate,French,esclave
693,similar,immediate,French,similaire
694,shop,immediate,French (Anglo-Norman),eschoppe
695,servant,immediate,French (Anglo-Norman),servant
696,secret,immediate,French (Anglo-Norman),secré
697,second,immediate,French,second
698,season,immediate,Old French,seson
699,screw,immediate,Old French,escroue
700,scorpion,immediate,French,scorpion
701,scissors,immediate,Old French,cisoirs
702,scar,immediate,Middle French,eacare
703,scale,immediate,Middle French,escale
704,sausage,immediate,Old French,saussiche
705,saucer,immediate,Old French,saussier
706,sacrifice,immediate,French,sacrifice
707,rule,immediate,French (Anglo-Norman),riule
708,round,immediate,French,rond
709,roll,immediate,French,rouler
710,rock,immediate,French (Anglo-Norman),"roque, rocque, roche"
711,roast,immediate,Old French,rostir
712,river,immediate,French (Anglo-Norman),river
713,rice,immediate,French,riz
714,return,immediate,French (Anglo-Norman),retourner
715,retreat,immediate,Old French,retraire
716,rescue,immediate,French (Anglo-Norman),rescoure
717,reply,immediate,French,replier
718,remember,immediate,French (Anglo-Norman),remembrer
719,remains,immediate,French (Anglo-Norman),remanoir
720,remain,immediate,French (Anglo-Norman),remayn-
721,religion,immediate,French (Anglo-Norman),religiun
722,regret,immediate,French,regretter
723,refuse,immediate,French,refuser
724,razor,immediate,French (Anglo-Norman),razor
725,rape,immediate,French (Anglo-Norman),rape
726,rabbit,immediate,French (Walloon),robett
727,quiet,immediate,French (Anglo-Norman),quiete
728,quarrel,immediate,Old French,querele
729,quail,immediate,Old French,quaille
730,push,immediate,French,pousser
731,pursue,immediate,French,poursuivre
732,pupil,immediate,Old French,pupille
733,punishment,immediate,French (Anglo-Norman),punisement
734,punishment,immediate,French (Anglo-Norman),punisement
735,pumpkin,immediate,French,pompion
736,proud,immediate,French (Anglo-Norman),prũt
737,promise,immediate,French,promettre
738,prisoner,immediate,Old French,prisonier
739,prison,immediate,French (Anglo-Norman),prisun
740,price,immediate,French (Anglo-Norman),pris
741,press,immediate,French,presser
742,president,immediate,French (Anglo-Norman),president
743,preserve,immediate,French,préserver
744,precipice,immediate,French,precipice
745,preach,immediate,French (Anglo-Norman),prechier
746,pray,immediate,French,prier
747,praise,immediate,French (Anglo-Norman),preisier
748,poultry,immediate,French,pouleterie
749,pot,immediate,French,pot
750,postcard,immediate,French,carte
751,post,immediate,French,poste
752,porpoise,immediate,French (Anglo-Norman),porpois
753,poor,immediate,French (Anglo-Norman),povre
754,police,immediate,French,police
755,poison,immediate,French,poison
756,pointed,immediate,French,point
757,poet,immediate,French,poète
758,pocket,immediate,French (Anglo-Norman),pokete
759,plot,immediate,French,plat
760,plate,immediate,French (Anglo-Norman),plat
761,plait,immediate,French (Anglo-Norman),pleit
762,plaintiff,immediate,French (Anglo-Norman),plaintif
763,plain,immediate,French,plain
764,pity,immediate,French (Anglo-Norman),pite
765,pitchfork,immediate,French,pic
766,piss,immediate,French,pisser
767,pinch,immediate,French (Anglo-Norman),pinchier
768,pile up,immediate,French,pile
769,piece,immediate,French (Anglo-Norman),peece
770,pestle,immediate,Old French,pestel
771,person,immediate,Middle French,persone
772,perjury,immediate,French (Anglo-Norman),perjurie
773,people,immediate,French (Anglo-Norman),people
774,peace,immediate,French (Anglo-Norman),pes
775,pay,immediate,French (Anglo-Norman),paier
776,pasture,immediate,French (Anglo-Norman),pastour
777,parent,immediate,French,parent
778,pardon,immediate,French,pardonner
779,paper,immediate,French (Anglo-Norman),papir
780,palm,immediate,French,paume
781,pair,immediate,French (Anglo-Norman),paire
782,paint,immediate,French (Anglo-Norman),peint
783,paint,immediate,French (Anglo-Norman),peindre
784,pain,immediate,French,peine
785,ornament,immediate,French (Anglo-Norman),ornament
786,order,immediate,French,ordonner
787,orange,immediate,French (Anglo-Norman),orenge
788,ointment,immediate,French (Anglo-Norman),oinement
789,ocean,immediate,Middle French,ocean
790,obscure,immediate,Old French,oscur
791,obey,immediate,French,obéir
792,nurse,immediate,French (Anglo-Norman),nourice
793,number,immediate,French,nombre
794,noble,immediate,French (Anglo-Norman),noble
795,niece,immediate,French (Anglo-Norman),nice
796,nephew,immediate,French,neveu
797,necklace,immediate,French (Anglo-Norman),laz
798,necessity,immediate,French (Anglo-Norman),necessite
799,mute,immediate,French,muet
800,music,immediate,French (Anglo-Norman),musique
801,mushroom,immediate,French (Anglo-Norman),muserun
802,mule,immediate,French (Anglo-Norman),mul
803,move,immediate,French (Anglo-Norman),mover
804,mountain,immediate,French,montagne
805,mould,immediate,French (Anglo-Norman),modle
806,mosque,immediate,Middle French,meseache
807,mortar,immediate,French,mortier
808,mortar,immediate,French (Anglo-Norman),mortier
809,money,immediate,French (Anglo-Norman),monai
810,mix,immediate,French,mixte
811,mirror,immediate,French,miroir
812,minister,immediate,French (Anglo-Norman),menestre
813,millet,immediate,French,millet
814,merchant,immediate,French (Anglo-Norman),marchand
815,medicine,immediate,Old French,medicine
816,measure,immediate,French (Anglo-Norman),mesurer
817,mattress,immediate,French (Anglo-Norman),materas
